"ASP.NET Core Fundamentals","aspdotnet-core-fundamentals"
"Testing C# Code in Production with Scientist.NET","scientist-dotnet-csharp-testing-code-production"
"Composer: Getting Started","composer-get-started"
"Entity Framework in the Enterprise","entity-framework-enterprise-update"
"Design Patterns in C++: Behavioral: Observer to Visitor","design-patterns-cpp-behavioral-observer-visitor"
"Adding Search Abilities to Your Apps with Azure Search","azure-adding-search-abilities-apps"
"JCache Fundamentals","jcache-fundamentals"
"DevOps Skills for Developers with Visual Studio & TFS 2015","devops-skills-developers-visual-studio-tfs-2015"
"Play by Play: EF Core 1.0: First Look","play-by-play-ef-core-1-0-first-look-julie-lerman"
"Android Fundamentals: Fragments","android-fundamentals-fragments"
"Tactics and Tools for Troubleshooting Front-end Web Development","tactics-tools-troubleshooting-front-end-web-development"
"Scaling Agile for Enterprise: Daikibo","daikibo-scaling-agile-enterprise"
"Force.com and Apex Fundamentals for Developers","forcedotcom-apex-for-developers"
"Working with Nulls in C#","csharp-nulls-working"
"Play by Play: Angular 2/RxJS/HTTP and RESTful Services with John Papa and ...","play-by-play-angular-2-rxjs-http-restful-services-john-papa-dan-wahlin"
"Getting Started with Node.js Security with Express and Angular","nodejs-security-express-angular-get-started"
"Meeting Web Accessibility Guidelines (Section 508/ WCAG 2.0)","web-accessibility-meeting-guidelines"
"Microsoft Azure API Management Essentials","microsoft-azure-api-management-essentials"
"Zend Db Deep Dive","zend-db-deep-dive"
"Office 365 Development: Getting Started","office-365-development-getting-started"
"PHP Web Application Security","php-web-application-security"
"Security for Hackers and Developers: Code Auditing","code-auditing-security-hackers-developers"
"Hadoop for .NET Developers","hadoop-for-dotnet-developers"
"Building an MVVM-based Architecture for Xamarin Mobile Apps","mvvm-based-architecture-xamarin-mobile-apps"
"iOS Debugging in Xcode","ios-debugging-xcode"
"Introduction to Azure App Services","introduction-azure-app-services"
"Android Fundamentals: SharedPreferences","android-fundamentals-shared-preferences"
"Electron Fundamentals","electron-fundamentals"
"WPF Productivity Playbook","wpf-productivity-playbook"
"Compiled Data Binding Fundamentals in UWP Using XAML","compiled-data-binding-uwp-using-xaml"
"Building Scalable APIs with GraphQL","graphql-scalable-apis"
"Apex Academy: The Power of SOQL","apex-soql-salesforce"
"AWS Developer: Getting Started","aws-developer-getting-started"
"Increase Productivity: Add a Dev Console to Your App with JavaScript","add-dev-console-to-your-app-with-javascript-increase-productivity"
"Azure SQL Data Warehouse: First Look","azure-sql-data-warehouse-first-look"
"How to Stop Man-in-the-Middle and Downgrade Attacks in Your Apps","downgrade-attacks-in-apps-stop-man-in-the-middle"
"Simplified .NET Background Tasks with Hangfire","simplified-dotnet-background-tasks-hangfire"
"WordPress Custom Theme Development","wordpress-custom-theme-development"
"Access Your Own Low Cost SAP Development System","access-low-cost-sap-development-system"
"Entity Framework Migrations for Large Teams","entity-framework-migrations-large-teams"
"Working with Polymer.js Elements","polymer-js-elements-working"
"RabbitMQ by Example","rabbitmq-by-example"
"Design Patterns in C++: Behavioral: Chain of Responsibility to Memento","design-patterns-cpp-behavioral-cor-memento"
"Building Real-time Applications with Socket.io","socket-io-building-real-time-applications"
"Building Stronger Front-end Practices","front-end-building-stronger-practices"
"Java EE 7 Fundamentals","java-ee-7-fundamentals"
"Write Less Code with Xamarin Designer","xamarin-designer-write-less-code"
"Using ES6 in Your Node.js Web Application","nodejs-es6-web-apps"
"File Storage Using AWS S3 and Glacier: Developer Deep Dive","file-storage-aws-s3-glacier-developer-deep-dive"
"Creating Geospatial Maps with MapServer and GDAL","map-server-gdal-creating-geospatial-maps"
"Modern Asynchronous JavaScript","javascript-asynchronous-modern"
"Creating Custom Controls in iOS","creating-custom-controls-ios"
"UWP Audio Fundamentals","uwp-audio-fundamentals"
"Introduction to ABAP Objects: Concepts & Class Builder","abap-objects-concepts-class-builder"
"Integrating Node Applications with GitHub","github-integrating-node-applications"
"Quick Guide to API Testing with HP's Unified Functional Testing","api-testing-hp-unified-functional-testing"
"Scaling Java Applications Through Concurrency","scaling-java-applications-through-concurrency"
"Android Fundamentals: Activities","android-fundamentals-activities"
"SQL Server: Improving Storage Subsystem Performance","sqlserver-improving-storage-subsystem-performance"
"Understanding ASP.NET Core (Update)","asp-dot-net-core-understanding"
"Real World SOA: Design and Implementation","soa-real-world-design-implementation"
"Real World SOA: Analysis and Design","soa-real-world-analysis-design"
"LINQ Fundamentals with C# 6.0","linq-fundamentals-csharp-6"
"Play by Play: Deploying an Angular 2 App to Azure with Git with John Papa ...","play-by-play-angular-2-app-deployment-azure-git-john-papa-shayne-boyer"
"Developing SharePoint-hosted Add-ins (Apps)","sharepoint-hosted-add-ins-developing"
"Akka.NET Persistence Fundamentals","akka-dotnet-persistence-fundamentals"
"Building a Web App with ASP.NET Core, MVC 6, EF Core, and Angular","aspdotnetcore-efcore-bootstrap-angular-web-app"
"The Journey from MVC to Angular","mvc-angular-journey"
"Fundamentals of Building Office Add-ins with Office JavaScript APIs","build-office-addins-js-api"
"SQL Server: Consolidation Tactics and Best Practices","sqlserver-consolidation-tactics-best-practices"
"Building, Testing, and Deploying Professional Puppet Modules","professional-puppet-modules-building-testing-deploying"
"Technical Writing: Documentation on Software Projects","technical-writing-software-documentation"
"Thinking Outside the Box with CSS Shapes","css-shapes-thinking-outside-box"
"A Practical Start with TypeScript","typescript-practical-start"
"Deploying .NET Applications with Octopus Deploy","octopus-deploy-dot-net-applications"
"Play by Play: Docker for Web Developers with John Papa and Dan Wahlin","play-by-play-docker-web-developers-john-papa-dan-wahlin"
"Using the Web Speech API with AngularJS","web-speech-api-angular-js"
"C# 6 from Scratch","csharp-6-from-scratch"
"Java EE: Programming Servlets","java-ee-programming-servlets"
"Moving Beyond JSON and XML with Protocol Buffers","protocol-buffers-beyond-json-xml"
"Reasoning About Asynchronous JavaScript","asynchronous-javascript-reasoning"
"Implementing Search in .NET Applications","implementing-search-dotnet-applications"
"Tactical Design Patterns in .NET: Creating Objects","tactical-design-patternsdot-net"
"Beautiful C++: STL Algorithms","beautiful-cplusplus-stl-algorithms"
"SQL Server: Replacing Profiler with Extended Events","sqlserver-replacing-profiler-extended-events"
"Java Fundamentals: The Core Platform","java-fundamentals-core-platform"
"iOS Auto Layout Fundamentals","ios-auto-layout-fundamentals"
"Responsive Web Images","responsive-web-images"
"Developing Alexa Skills for Amazon Echo","amazon-echo-developing-alexa-skills"
"What Every Developer Should Know About SQL Server Performance","sql-server-performance-every-developer-should-know"
"Design Patterns in C++: Structural: Façade to Proxy","design-patterns-cpp-structural-facade-proxy"
"Getting Started with Power BI","getting-started-power-bi"
"Building Cross Platform Native Mobile Applications with NativeScript","nativescript-cross-platform-native-mobile-apps"
"Play by Play: Angular 2 Quick Start with John Papa and Ward Bell","play-by-play-angular-2-quick-start-john-papa-ward-bell"
"The Geolocation API: Using Maps and Location in Your Web Pages","geolocation-api"
"What Is Programming?","what-is-programming"
"Testing PowerShell with Pester","powershell-testing-pester"
"Semantic UI 2.0","semantic-ui-2-0"
"Spring Boot: Efficient Development, Configuration, and Deployment","spring-boot-efficient-development-configuration-deployment"
"Introduction to Bitcoin and Decentralized Technology","bitcoin-decentralized-technology"
"RESTful Web Services with PHP and Laravel","php-laravel-restful-web-services"
"Object-oriented Programming in JavaScript: ES6","javascript-es6-object-oriented-programming"
"Getting Started with Polymer.js","polymer-js-getting-started"
"Hacking VS Code: Write Your First Extension for Visual Studio Code","visual-studio-code-write-first-extension"
"JavaScript Module Fundamentals","javascript-module-fundamentals"
"Scaling Go Applications Horizontally","go-horizontal-scaling-apps"
"Dynamic C# Fundamentals","c-sharp-dynamic-fundamentals"
"Database Delivery Best Practices","database-delivery-best-practices"
"Solve Math Problems with JavaScript","javascript-solve-math-problems"
"Preparing for and Migrating Applications to Angular 2","migrating-applications-angular-2"
"Building Software That Lasts: A Guide to Maintainable Software","building-software-that-lasts-guide-to-maintainable-software"
"Importing and Exporting Oracle Data for Developers","oracle-data-developers"
"Rust Fundamentals","rust-fundamentals"
"Android Material Design: Implementing Tabs","android-material-design-implementing-tabs"
"Apex Academy: Fundamental Salesforce Coding Techniques","apex-fundamental-coding"
"Become a Full-stack .NET Developer: Advanced Topics","full-stack-dot-net-developer"
"Become a Full-stack .NET Developer: Architecture and Testing","full-stack-dot-net-developer-architecture-testing"
"Become a Full-stack .NET Developer","full-stack-dot-net-developer-fundamentals"
"JD Edwards EnterpriseOne Fundamentals","jdedwards-enterpriseone-fundamentals"
"Architecting Web Applications with Spring","architecting-web-applications-spring"
"Building Applications with React and Redux in ES6","react-redux-react-router-es6"
"Scrum Master Fundamentals: Foundations","scrum-master-fundamentals-foundations"
"Understanding Machine Learning with Python","python-understanding-machine-learning"
"Code-first Entity Framework with Legacy Databases","code-first-entity-framework-legacy-databases"
"Getting Started with Emmet","emmet-getting-started"
"Play by Play: Introducing Agile to Teams with Doc Norton and Jeremy Jarrell","play-by-play-agile-teams-doc-norton-jeremy-jarrell"
"Practical SQL Server In-Memory OLTP Tables and Objects","sql-server-in-memory-oltp-tables-objects"
"Leadership and Communication Skills for Software Engineers","leadership-communication-software-engineers"
"Aspose.Words for .NET: Creating Dynamic Documents","asposedotwords-dotnet-creating-dynamic-documents"
"Building a Consistent RESTful API with OData V4 in ASP.NET","asp-dot-net-odata-v4-restful-api"
"Automating the Web Using PhantomJS and CasperJS","automating-web-phantom-js-casper-js"
"Geospatial Mapping with D3","geospatial-mapping-d3"
"End-to-end Software Development with Team Foundation Server 2015","tfs-2015"
"Automated Business Readable Web Tests with Selenium and SpecFlow","selenium-specflow-automated-business-readable-web-tests"
"Swift for iOS Developers","swift-ios-developers"
"AWS Developer: The Big Picture","aws-developer-big-picture"
"Aurelia Fundamentals","aurelia-fundamentals"
"Advanced Git Tips and Tricks","git-advanced-tips-tricks"
"Beego: A Go Web Application Framework","beego-go-web-app-framework"
"Building Components with Angular 1.5","building-components-angular-1-5"
"Getting Started Building SPAs with Lightning Component Framework","lightning-component-framework-spa-getting-started"
"Design Patterns in C++: Structural: Adapter to Decorator","design-patterns-cpp-structural-adapter-decorator"
"Making a Web Form Accessible","web-form-accessible"
"Occasionally Connected Windows Mobile Apps: Consumer","occasionally-connected-windows-mobile-apps-consumer"
"ASP.NET in Multi-tenant App, Examples in MVC, ExtJS, and Angular","aspnet-multi-tenant-app-mvc-extjs-angular"
"Web Mapping with OpenLayers 3","open-layers-3-web-mapping"
"A Comparison of Microsoft Web Technologies","microsoft-web-technology-comparison"
"Rebuilding Web Forms Applications in MVC","rebuilding-web-forms-applications-mvc"
"WPF and MVVM: Test Driven Development of ViewModels","wpf-mvvm-test-driven-development-viewmodels"
"Applying Functional Principles in C#","csharp-applying-functional-principles"
"JavaScript Animation with GSAP","gsap-javascript-animation"
"Using OAuth to Secure Your ASP.NET API","oauth-secure-asp-dot-net-api"
"Pair Programming","pair-programming"
"Building Applications with Angular, Firebase, and AngularFire","building-apps-angular-firebase-angularfire"
"JavaScript Best Practices","javascript-best-practices"
"PostgreSQL Playbook for Developer DBAs","postgresql-playbook"
"Rapid ES6 Training","rapid-es6-training"
"SQL Server: Scaling SQL Server 2012 and 2014: Part 2","scaling-sqlserver2012-2014-part2"
"Applying Concurrency and Multi-threading to Common Java Patterns","java-patterns-concurrency-multi-threading"
"SAP Business Warehouse Query Fundamentals","sap-business-warehouse-query-fundamentals"
"Play by Play: Angular with Typescript with John Papa and Christopher Martin","play-by-play-angular-typescript-john-papa-christopher-martin"
"Angular 2: Getting Started","angular-2-getting-started"
"SQL Server: Understanding and Using DBCC Commands","sql-server-understanding-using-dbcc-commands"
"High Performance PHP","php-highly-performant"
"Docker for Web Developers","docker-web-development"
"Photoshop: Advanced Tips and Tricks for Developers","photoshop-advanced-tips-tricks-developers"
"Developing with Office UI Fabric","developing-office-ui-fabric"
"Revel: A Go Website Application Framework","revel-go-web-app-framework"
"Business Readable Automated Tests with SpecFlow 2.0","specflow-2-0-business-readable-automated-tests"
"Lean Software Development Fundamentals","lean-software-development-fundamentals"
"Azure AD for Developers","azure-active-directory-developers"
"Building Distributed Systems with Akka.NET Clustering","akka-dotnet-building-distributed-systems-clustering"
"PostgreSQL: Advanced Server Programming","postgresql-advanced-server-programming"
"Scaling Applications with Microservices, MassTransit, and RabbitMQ","masstransit-rabbitmq-scaling-microservices"
